Country;Year;Coal;Oil;Marker size;
US;1965;291,8264159;548,933;1;
US;1966;306,0004759;575,664;1;
US;1967;300,2214603;595,761;1;
US;1968;310,7278459;635,452;1;
US;1969;312,0095615;667,791;1;
US;1970;309,0609017;694,59;1;
US;1971;292,2750531;719,269;1;
US;1972;304,333198;775,841;1;
US;1973;326,8760529;818,032;1;
US;1974;319,0991483;782,554;1;
US;1975;319,0968286;765,897;1;
US;1976;342,3127261;822,355;1;
US;1977;350,8311015;865,855;1;
US;1978;346,8866553;888,848;1;
US;1979;378,9911891;868,025;1;
US;1980;388,6482617;794,106;1;
US;1981;400,8629229;745,996;1;
US;1982;386,0973541;705,541;1;
US;1983;400,533196;704,89;1;
US;1984;430,172438;723,275;1;
US;1985;440,4489678;720,167;1;
US;1986;434,9548904;749,336;1;
US;1987;453,8053245;764,788;1;
US;1988;474,9190847;796,739;1;
US;1989;480,5499312;795,309;1;
US;1990;483,1422736;781,821;1;
US;1991;478,5820367;765,576;1;
US;1992;481,8781706;782,245;1;
US;1993;499,8373166;789,347;1;
US;1994;501,7100176;809,784;1;
US;1995;506,2275189;807,73;1;
US;1996;529,2394631;836,546;1;
US;1997;540,4150278;848,023;1;
US;1998;545,7156635;863,756;1;
US;1999;544,8791762;888,892;1;
US;2000;568,9946014;897,641;1;
US;2001;552,2305155;896,07;1;
US;2002;551,9714661;897,358;1;
US;2003;562,4780048;912,262;1;
US;2004;566,1388164;948,7531533;1;
US;2005;574,2072819;951,374;1;
US;2006;565,6590815;943,802501;1;
US;2007;573,2767931;942,3028776;1;
US;2008;564,0972426;888,4813667;1;
US;2009;497,9783087;842,8884624;1;
Brazil;1965;1,735;14,878;0,5;
Brazil;1966;1,88;16,218;0,5;
Brazil;1967;1,943;16,759;0,5;
Brazil;1968;1,912;20,139;0,5;
Brazil;1969;2,134;22,109;0,5;
Brazil;1970;2,358;25,1842422;0,5;
Brazil;1971;2,424;27,95661695;0,5;
Brazil;1972;2,439;32,14776468;0,5;
Brazil;1973;2,415;39,80398283;0,5;
Brazil;1974;2,517;42,97944575;0,5;
Brazil;1975;3,018;44,45149585;0,5;
Brazil;1976;3,449;47,8998351;0,5;
Brazil;1977;4,196;49,25917808;0,5;
Brazil;1978;4,602;54,22204254;0,5;
Brazil;1979;5,076;57,6619343;0,5;
Brazil;1980;5,517;56,37558146;0,5;
Brazil;1981;5,688;53,85133869;0,5;
Brazil;1982;5,934;54,75825001;0,5;
Brazil;1983;6,646;53,25755973;0,5;
Brazil;1984;8,303;54,4573721;0,5;
Brazil;1985;9,881;55,96432589;0,5;
Brazil;1986;10,069;61,85354384;0,5;
Brazil;1987;10,115;63,27721053;0,5;
Brazil;1988;10,043;64,92007575;0,5;
Brazil;1989;9,907;66,01905391;0,5;
Brazil;1990;9,533;64,25707069;0,5;
Brazil;1991;10,232;65,09700165;0,5;
Brazil;1992;9,896;68,02978934;0,5;
Brazil;1993;10,274;69,083495;0,5;
Brazil;1994;10,321;72,35442875;0,5;
Brazil;1995;10,796;76,10357292;0,5;
Brazil;1996;11,339;81,2966529;0,5;
Brazil;1997;11,495;86,8289093;0,5;
Brazil;1998;11,35;90,02168112;0,5;
Brazil;1999;11,902;92,53030102;0,5;
Brazil;2000;12,509;91,60117594;0,5;
Brazil;2001;12,215;92,89048659;0,5;
Brazil;2002;11,451;91,6258705;0,5;
Brazil;2003;11,77;87,796909;0,5;
Brazil;2004;12,77;88,365684;0,5;
Brazil;2005;12,663;89,45419909;0,5;
Brazil;2006;12,536;92,1314102;0,5;
Brazil;2007;13,359;99,03787036;0,5;
Brazil;2008;13,483;104,8473582;0,5;
Brazil;2009;11,706;104,3098393;0,5;
France;1965;45,055;53,887;0,5;
France;1966;41,341;57,663;0,5;
France;1967;41,804;66,219;0,5;
France;1968;40,045;71,782;0,5;
France;1969;39,787;82,953;0,5;
France;1970;37,826;94,272;0,5;
France;1971;33,838;102,768;0,5;
France;1972;29,548;114,123;0,5;
France;1973;29,45;127,269;0,5;
France;1974;30,329;121,007;0,5;
France;1975;26,459;110,378;0,5;
France;1976;30,03;119,452;0,5;
France;1977;29,821;114,582;0,5;
